1500.0      AIRMEN CERTIFICATION
1500.1
1502       CERT/AIRM/STUDENT PILOT
1503       CERT/AIRM/PRIVATE PILOT
1504       CERT/AIRM/COMMERCIAL PILOT
1505       CERT/AIRM/ADD CAT/CLASS
1506       CERT/AIRM/INSTRUMENT PILOT
1510       CERT/AIRM/INIT ATP ORAL
1511       CERT/AIRM/INIT ATP SIMLTR
1512       CERT/AIRM/INIT ATP AIRCFT
1513       CERT/AIRM/ATP LTR COMPETENCY
1514       CERT/AIRM/ADD TYPE RTG ORAL
1515       CERT/AIRM/ADD TYPE RTG SIMLTR
1516       CERT/AIRM/ADD TYPE RTG AIRCFT
1518       CERT/AIRM/ADD RTG F/E ORAL
1519       CERT/AIRM/ADD RTG F/E SIM LTR
1520       CERT/AIRM/ADD RTG F/E AIRCFT
1521       CERT/AIRM/RMV RESTRCTN/REISSUE
1522       CERT/AIRM/FLIGHT NAVIGATOR
1524       CERT/AIRM/DISPATCHER
1525       CERT/AIRM CFI ORIGINAL CERT
1526       CERT/AIRM/CFI CERT/ADD RATING
1527       CERT/AIRM CFI RENEW FLIGHT
1528       CERT/AIRM CFI RENEW NO FLIGHT
1529       CERT/AIRM CFI REINST
1530       CERT/AIRM/GRND INST ISSUE/ADD
1531       CERT/AIRM/SPECIAL MEDICAL CHK
1532       CERT/AIRM/MIL COMP CERT/ADD
1533       CERT/AIRM/FRGN PILOT CERT/ADD
1534       CERT/AIRM/CONDUCT AIRMEN REEXAM
1535       CERT/AMN/SPC PURP CERT FRGN/US
1536       CERT/AIRM/WRITTEN TEST
1537       CERT/AIRM/ICAO APPLCN REVIEW
1538       CERT/AIRM/PILOT PROFCY CHECK
1539       CERT/AIRM/INSTMNT COMPNCY CHECK
1541       CERT/AIRM/PROF/COMP CK ORAL
1542       CERT/AIRM/PROF/COMP CK SIM
1543       CERT/AIRM/PROF/COMP CK ACFT
1544       CERT/AIRM/PROF/LINE CK
1545       CERT/AIRM/AQP/EVAL SYS KNOWLDG
1546       CERT/AIRM/AQP/EVAL PROCEDURES
1547       CERT/AIRM/AQP/VAL MANEUVERS
1548       CERT/AIRM/AQP/LOFT
1549       CERT/AIRM/AQP/LINE CHECK
1551       CERT/EXMNR/DESIG PILOT LG/TURB
1552       CERT/EXMNR/DESIG PILOT OTHER
1553       CERT/EXMNR/DESIG PILOT PROF
1554       CERT/EXMNR/DESIG NAVIGATOR
1555       CERT/EXMNR/DESIG DISPATCHER
1561       CERT/EXMNR/DESIG FLT ENGINEER
1562       CERT/EXMNR/DESIG APD
1563       CERT/EXMNR/REVW EXMNR
1576       CERT/AUTHZN/COMPUTER TEST
1578       CERT/AUTHZN/AEROBATIC COMP
1579       CERT/AUTHZN/PILOT KNOW/SKILL
1580       CERT/AIRM/EXPERMNTL ACFT AUTHZN
1581       CERT/AIRM/AUTH INSTR & ADD ACFT
1582       CERT/AIRM/AUTHORIZED INST/RENEW
1583       CERT/AIRM/AUTHORIZED INST/REINS
1585       CERT/AIRM/SURVEY/SPCL EMPH PRG
1590       CERT/AIRM/CERTIFICAT'N SUPPORT
1595       CERT/AIRM/TECH ASSIST NO CERT
1599
1600.0      SURVEILLANCE
1600.1
1616       SURVL/MAIN BASE
1617       SURVL/STATION FACILITY
1618       SURVL/SUB BASE
1621       SURVL/MANUAL PROCEDURES
1622       SURVL/RAMP CHECK
1624       SURVL/EN ROUTE COCKPIT
1625       SURVL/EN ROUTE CABIN
1626       SURVL/TRAINING PROGRAM
1627       SURVL/CREW/DISP RECORDS
1628       SURVL/TRIP RECORDS
1629       SURVL/STRIKE/LABOR/FINANCL
1630       SURVL/SIMLTR/TRNG DEVICE
1635       SURVL/FACILITY
1636       SURVL/DISPATCH/FLT FLW/LOC
1637       SURVL/DE-ICE
1638       SURVL/CARGO CHECK
1641       SURVL/CHECK AIRMAN ORAL
1642       SURVL/CHECK AIRMAN/SIM
1643       SURVL/CHECK AIRMAN/ACFT
1644       SURVL/CHECK AIRMAN/LINE CHECK
1645       SURVL/CHECK AIRMAN/OPER EXPERIENCE
1662       SURVL/AIRMAN/AUTHORISED INSTRUCTOR
1681       SURVL/MISC/NONCERT OR FRGN ARPT
1693       SURVL/MISC/INSPECT SAWRS FACLTY
1699
1700.0      INVESTIGATIONS
1700.1
1702       INVSTGTN/ACCIDENT/ON SITE
1703       INVSTGTN/ACCIDENT/OTHER
1711       INVSTG/INCIDENT ON SITE
1712       INVSTG/INCIDENT OTHER
1720       INVSTG/NEAR MIDAIR COLLISION
1725       INVSTG/OCCURENCES
1731       INVSTG/ENFRCMNT/LEGAL ACTION
1733       INVSTG/ENFRCMNT/ADMIN ACTION
1735       INVSTG/ENFRCMNT/NO ACTION
1737       INVSTG/COMPLAINT
1741       INVSTG/LEGAL SUPRT/ASST COUNSL
1743       INVSTG/LEGAL SUPRT/HEARING
1761       INVSTGTN/TECH SUPRT/ACCIDENT
1763       INVSTGTN/TECH SUPRT/INCIDENT
1765       INVSTGTN/TECH SUPRT/NMAC
1767       INVSTGTN/TECH SUPRT/OCCURRENCE
1769       INVSTGTN/TECH SUPRT/ENFORCEMNT
1771       INVSTGTN/TECH SUPRT/COMPLAINT
1790       INVST/TECH ASSISTANCE NO CERT
1799
1800.0      GENERAL TECH FUNCTIONS
1800.1
1801       GENRL TECH/EXEMPTION
1820       GENRL TECH/CONGRESSIONAL
1822       GENRL TECH/GENERAL ACCT OFFICE
1823       GENRL TECH/OFF INSPECTOR GENERAL
1830       GENRL TECH/ADMIN HOTLINE RESPN
1835       GENRL TECH/EVENT
1845       GENRL TCH/ACFT OPER-ATC FCLTY
1846       GENRL TCH/EVAL AIRSPC/LNDG SITE
1850       GENRL TECH/APPROVE SIMULATOR
1855       GENRL TECH/EVAL APT ANALYSIS
1860       GENRL TECH/APPROVE COURSE
1865       GENRL TECH/PROCESS DEVIATIONS
1880       GENRL TECH/TECH ASSIST NO CERT
1885       DATA COLLECTION
1899
1900       AV EDUSCTION & SAFETY PROMOTION
1900
1915       MANAGER MEETING PARTICIPATION
1923       ISSUE AVIATION SAFETY AWARD
1931       AVIATION SAFETY MEETING
1932       FLIGHT INSTRUCTOR MEETING
1933       ASST/PARTICIPATE IN SAFETY MTG
1938       CONDUCT IA RENEWAL MEETING
1942       MAJOR EVENT/SAFETY/SUPPORT GRP
1943       PROGRAM MATERIAL DEVELOPMENT
1951       AIRMAN COUNSELING
1953       SAFETY ACTION ITEM
1973       INDUSTRY AVIA SAFETY PROGRAM
1981       AVIATION EDUC ACT/MEETING
1999       OPERATIONS - RESERVED
2999
3000.1      AIRWORTHINESS
3000.2
3000.3      TECH STAFF ADMIN FUNCTIONS
3000.4
3001       STAFF/ADMIN/EVALUATE TECH DOC
3010       STAFF/ADMIN/HUMAN RELATIONS
3012       STAFF/ADMIN/PTNRSHP FOR SAFETY
3021       STAFF/ADMIN/FORMAL TRAINING
3023       STAFF/ADMIN/OJT TRAINEE
3024       STAFF/ADMIN/OJT TRAINER
3025       STAFF/ADMIN/OTHER TRAINING
3030       STAFF/AMIN/CONVEY NONREG SFTY
3040       STAFF/ADMIN/TELEPHONE STANDBY
3045       STAFF/ADMIN/SPECIAL PROJECTS
3099
"3200.0      AOC, AMO, ATO CERTIFICATION"
3200.1
3202       ORG/CERT/ORIGINAL
3215       ORG/CERT/OPER/ISSUE AUTH/WAIVR
3230       ORG/CERT/ORIG ATO/AGNCY
3235       RESUMPTION OF SERVICE
3236       MERGERS/ACQUISITIONS
3240       ORG/CERT/CERT SUPPORT
3242       ORG/CERT/AGNCY/ORIG/WAIVER-ISSU
3243       ORG/CERT/AGNCY/ORIG/DEVIAT/ISSU
3250       ORG/CERT/TECH ASSIST NO CERT
3270       ORG/FORN AV'N AUTH'Y ASSESSMENT
3271       ORG/FORN AV'N AUTH'Y REASSESM'T
3299
"3300.0      AOC, AMO, ATO TECHNICAL ADMIN"
3300.1
3302       TECH/ADMN/OPER/EVAL MAN INIT
3303       TECH/ADMN/OPER/EVAL MAN REVSN
3304       TECH/ADMN/OPER/EVAL CONTRACTS
3305       TECH/ADMN/OPER/EVAL TRNG INIT
3306       TECH/ADMN/OPER/EVAL TRNG REVSN
3308       TECH/ADMN/OPER/TEST EVAC/DITCH
3309       TECH/ADMN/OPER/TEST OTHER GRND
3310       TECH/ADMN/OPER/TEST OTHER FLT
3311       TECH/ADMIN/OPR/APPROVEL/DE-ICE
3312       TECH/ADMN/OPER/APRV MEL INIT
3313       TECH/ADMN/OPER/APRV MEL REVISN
3315       TECH/ADMN/OPER/OPS SPEC ORIG
3316       TECH/ADMN/OPER/OPS SPEC REVISN
3318       TECH/ADMN/OPER/PROVING FLIGHT
3319       TECH/ADMN/OPER/EVAL DEVIATION
3321       TECH/ADMN/OPER/ACFT/ENG UTILZN
3324       PROCESS/REVIEW REPORTS
